planet_name,orbital_period,planet_radius,planet_mass,star_temperature,star_radius,distance
K2-378 b,2.060438,2.88,8.65,4823,0.732,687.973
K2-379 b,8.777247,2.181,5.4,4603,0.751,182.207
K2-38 b,4.01593,1.54,7.3,5731,1.06,192.69
K2-38 c,10.56103,2.29,8.3,5731,1.06,192.69
K2-380 b,9.401312,2.729,7.89,5911,1.32,249.303
K2-381 b,7.9389334,1.075,1.26,4473,0.675,145.701
K2-381 c,16.034656,2,4.66,4473,0.675,145.701
K2-381 d,26.803023,1.689,3.5,4473,0.675,145.701
K2-382 b,21.700156,2.072,4.95,5452,0.811,278.412
K2-383 b,1.865962,1.564,3.07,5129,0.804,203.788
K2-384 b,2.231527,1.076,1.26,3623,0.348,82.6603
K2-384 c,4.194766,1.191,1.82,3623,0.348,82.6603
K2-384 d,6.679582,1.392,2.52,3623,0.348,82.6603
K2-384 e,9.715043,1.345,2.37,3623,0.348,82.6603
K2-384 f,13.62749,2.222,5.57,3623,0.348,82.6603
K2-385 b,2.380867,1.539,2.98,4844,0.761,420.819
K2-386 b,7.473223,2.32,5.99,5749,0.97,428.785
K2-387 b,28.735327,7.322,42.2,3572,0.585,266.318
K2-388 b,6.33932,3.9,14.5,5310,0.91,290.495
K2-389 b,8.58289,2.33,6.04,5773,1.094,259.208
K2-389 c,20.851337,2.04,4.82,5782,1.084,259.208
K2-39 b,4.60543,6.27704,28.6047,4881,2.97,307.47
